HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
HGNC:25443	C19orf12	ENSG00000131943	83636	614297	AR	DEE
HGNC:26799	C2orf69	ENSG00000178074	205327	619219	AR	DEE
HGNC:1388	CACNA1A	ENSG00000141837	773	601011	AD/AR	GGE, DEE, PME
HGNC:1389	CACNA1B	ENSG00000148408	774	601012	AR	DEE, PME
HGNC:1390	CACNA1C	ENSG00000151067	775	114205	AD	DEE
HGNC:1391	CACNA1D	ENSG00000157388	776	114206	AD	DEE
HGNC:1392	CACNA1E	ENSG00000198216	777	601013	AD	DEE
HGNC:1394	CACNA1G	ENSG00000006283	8913	604065	AD	DEE
HGNC:1396	CACNA1I	ENSG00000100346	8911	608230	AD	DEE
HGNC:1399	CACNA2D1	ENSG00000153956	781	114204	AR	DEE
HGNC:1400	CACNA2D2	ENSG00000007402	9254	607082	AR	DEE, PME
HGNC:1424	CAD	ENSG00000084774	790	114010	AR	DEE
HGNC:1460	CAMK2A	ENSG00000070808	815	114078	AD/AR	DEE
HGNC:1461	CAMK2B	ENSG00000058404	816	607707	AD	DEE
HGNC:19946	CAMSAP1	ENSG00000130559	157922	613774	AR	DEE, MCD
HGNC:18806	CAMTA1	ENSG00000171735	23261	611501	AD	PME
HGNC:6743	CAPRIN1	ENSG00000135387	4076	601178	AD	DEE
HGNC:25695	CARS2	ENSG00000134905	79587	612800	AR	DEE, PME
HGNC:1497	CASK	ENSG00000147044	8573	300172	XL	DEE
HGNC:29253	CC2D2A	ENSG00000048342	57545	612013	AR	DEE, MCD
HGNC:24349	CCDC186	ENSG00000165813	55088	619249	AR	DEE
HGNC:28909	CCDC22	ENSG00000101997	28952	300859	XL	DEE
HGNC:25523	CCDC88A	ENSG00000115355	55704	609736	AR	DEE
HGNC:19967	CCDC88C	ENSG00000015133	440193	611204	AR	DEE
HGNC:21708	CCM2	ENSG00000136280	83605	607929	AD	MCD
HGNC:1583	CCND2	ENSG00000118971	894	123833	AD	MCD
HGNC:1738	CDC42BPB	ENSG00000198752	9578	614062	AD	DEE
HGNC:1733	CDK13	ENSG00000065883	8621	603309	AD	DEE
HGNC:19338	CDK19	ENSG00000155111	23097	614720	AD	DEE
HGNC:1774	CDK5	ENSG00000164885	1020	123831	AR	MCD
HGNC:11411	CDKL5	ENSG00000008086	6792	300203	XL	DEE
HGNC:2550	CELF2	ENSG00000048740	10659	602538	AD	DEE
HGNC:1857	CENPF	ENSG00000117724	1063	600236	AR	MCD
HGNC:21638	CEP85L	ENSG00000111860	387119	618865	AD	DEE, MCD
HGNC:14253	CERS1	ENSG00000223802	10715	606919	AR	PME
HGNC:2205	CERT1	ENSG00000113163	10087	604677	AD	DEE
HGNC:1915	CHD1	ENSG00000153922	1105	602118	AD	DEE
HGNC:1917	CHD2	ENSG00000173575	1106	602119	AD	GGE, DEE, PME
HGNC:1918	CHD3	ENSG00000170004	1107	602120	AD	DEE
HGNC:1919	CHD4	ENSG00000111642	1108	603277	AD	GGE, DEE
HGNC:16816	CHD5	ENSG00000116254	26038	610771	AD	DEE, MCD
HGNC:1937	CHKA	ENSG00000110721	1119	118491	AR	DEE
HGNC:1956	CHRNA2	ENSG00000120903	1135	118502	AD	Focal
HGNC:1958	CHRNA4	ENSG00000101204	1137	118504	AD	Focal
HGNC:1962	CHRNB2	ENSG00000160716	1141	118507	AD	Focal
HGNC:14214	CIC	ENSG00000079432	23152	612082	AD	DEE
HGNC:2021	CLCN3	ENSG00000109572	1182	600580	AD/AR	DEE
HGNC:2022	CLCN4	ENSG00000073464	1183	302910	XL	DEE
HGNC:2047	CLDN5	ENSG00000184113	7122	602101	AD	DEE
HGNC:2074	CLN3	ENSG00000188603	1201	607042	AR	PME
HGNC:2076	CLN5	ENSG00000102805	1203	608102	AR	PME
HGNC:2077	CLN6	ENSG00000128973	54982	606725	AR	PME
HGNC:2079	CLN8	ENSG00000182372	2055	607837	AR	PME
HGNC:30664	CLPB	ENSG00000162129	81570	616254	AR	DEE
HGNC:2092	CLTC	ENSG00000141367	1213	118955	AD	DEE
HGNC:19701	CNKSR2	ENSG00000149970	22866	300724	XL	Focal, DEE
HGNC:103	CNNM2	ENSG00000148842	54805	607803	AD/AR	DEE
