HGNC_ID	Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
NA	CAPRIN1	ENSG00000135387	4076	601178	AD	DEE
NA	CAPZA2	ENSG00000198898	830	601571	AD	DEE
NA	CARS2	ENSG00000134905	79587	612800	AR	DEE, PME
NA	CASK	ENSG00000147044	8573	300172	XL	DEE
NA	CASP2	ENSG00000106144	835	600639	AR	DEE, MCD
NA	CC2D2A	ENSG00000048342	57545	612013	AR	DEE, MCD
NA	CCDC186	ENSG00000165813	55088	619249	AR	DEE
NA	CCDC22	ENSG00000101997	28952	300859	XL	DEE
NA	CCDC88A	ENSG00000115355	55704	609736	AR	DEE
NA	CCDC88C	ENSG00000015133	440193	611204	AR	DEE
NA	CCM2	ENSG00000136280	83605	607929	AD	MCD
NA	CCND2	ENSG00000118971	894	123833	AD	MCD
NA	CDC42BPB	ENSG00000198752	9578	614062	AD	DEE
NA	CDK13	ENSG00000065883	8621	603309	AD	DEE
NA	CDK19	ENSG00000155111	23097	614720	AD	DEE
NA	CDK5	ENSG00000164885	1020	123831	AR	MCD
NA	CDKL5	ENSG00000008086	6792	300203	XL	DEE
NA	CELF2	ENSG00000048740	10659	602538	AD	DEE
NA	CENPF	ENSG00000117724	1063	600236	AR	MCD
NA	CEP85L	ENSG00000111860	387119	618865	AD	DEE, MCD
NA	CERS1	ENSG00000223802	10715	606919	AR	PME
NA	CERT1	ENSG00000113163	10087	604677	AD	DEE
NA	CHD1	ENSG00000153922	1105	602118	AD	DEE
NA	CHD2	ENSG00000173575	1106	602119	AD	GGE, DEE, PME
NA	CHD3	ENSG00000170004	1107	602120	AD	DEE
NA	CHD4	ENSG00000111642	1108	603277	AD	GGE, DEE
NA	CHD5	ENSG00000116254	26038	610771	AD	DEE, MCD
NA	CHKA	ENSG00000110721	1119	118491	AR	DEE
NA	CHRNA2	ENSG00000120903	1135	118502	AD	Focal
NA	CHRNA4	ENSG00000101204	1137	118504	AD	Focal
NA	CHRNB2	ENSG00000160716	1141	118507	AD	Focal
NA	CIC	ENSG00000079432	23152	612082	AD	DEE
NA	CLCN3	ENSG00000109572	1182	600580	AD/AR	DEE
NA	CLCN4	ENSG00000073464	1183	302910	XL	DEE
NA	CLCN6	ENSG00000011021	1185	602726	AD	DEE, PME
NA	CLDN5	ENSG00000184113	7122	602101	AD	DEE
NA	CLN3	ENSG00000188603	1201	607042	AR	PME
NA	CLN5	ENSG00000102805	1203	608102	AR	PME
NA	CLN6	ENSG00000128973	54982	606725	AR	PME
NA	CLN8	ENSG00000182372	2055	607837	AR	PME
NA	CLPB	ENSG00000162129	81570	616254	AR	DEE
NA	CLTC	ENSG00000141367	1213	118955	AD	DEE
NA	CNKSR2	ENSG00000149970	22866	300724	XL	Focal, DEE
NA	CNNM2	ENSG00000148842	54805	607803	AD/AR	DEE
NA	CNOT9	ENSG00000144580	9125	612054	AD	DEE
NA	CNPY3	ENSG00000137161	10695	610774	AR	DEE
NA	CNTNAP1	ENSG00000108797	8506	602346	AR	DEE
NA	CNTNAP2	ENSG00000174469	26047	604569	AR	DEE
NA	COG4	ENSG00000103051	25839	606976	AD/AR	DEE
NA	COG6	ENSG00000133103	57511	606977	AR	DEE
NA	COG7	ENSG00000168434	91949	606978	AR	DEE
NA	COG8	ENSG00000213380	84342	606979	AR	DEE
NA	COL18A1	ENSG00000182871	80781	120328	AR	DEE, MCD
NA	COL3A1	ENSG00000168542	1281	120180	AR	MCD
NA	COL4A1	ENSG00000187498	1282	120130	AD	MCD
NA	COL4A2	ENSG00000134871	1284	120090	AD	MCD
NA	COQ2	ENSG00000173085	27235	609825	AR	DEE
NA	COQ4	ENSG00000167113	51117	612898	AR	DEE
NA	COQ6	ENSG00000119723	51004	614647	AR	DEE
NA	COQ8A	ENSG00000163050	56997	606980	AR	DEE
NA	COQ9	ENSG00000088682	57017	612837	AR	DEE
NA	COX10	ENSG00000006695	1352	602125	AR	DEE
NA	COX15	ENSG00000014919	1355	603646	AR	DEE
NA	CP	ENSG00000047457	1356	117700	AR	DEE
NA	CPLX1	ENSG00000168993	10815	605032	AR	DEE
NA	CPSF3	ENSG00000119203	51692	606029	AR	DEE
NA	CPT2	ENSG00000157184	1376	600650	AR	DEE, MCD
NA	CRADD	ENSG00000169372	8738	603454	AR	DEE, MCD
NA	CREBBP	ENSG00000005339	1387	600140	AD	DEE
NA	CRELD1	ENSG00000163703	78987	607170	AR	DEE
NA	CRPPA	ENSG00000214960	729920	614631	AR	DEE, MCD
NA	CSF1R	ENSG00000182578	1436	164770	AR	DEE
NA	CSNK1E	ENSG00000213923	1454	600863	AD	DEE
NA	CSNK2A1	ENSG00000101266	1457	115440	AD	DEE
NA	CSNK2B	ENSG00000204435	1460	115441	AD	DEE
NA	CSTA	ENSG00000121552	1475	184600	AR	MCD
NA	CSTB	ENSG00000160213	1476	601145	AR	PME
NA	CTNNA2	ENSG00000066032	1496	114025	AR	DEE, MCD
NA	CTSD	ENSG00000117984	1509	116840	AR	PME
NA	CTSF	ENSG00000174080	8722	603539	AR	PME
NA	CTU2	ENSG00000174177	348180	617057	AR	DEE
NA	CUL3	ENSG00000036257	8452	603136	AD	DEE
NA	CUL4B	ENSG00000158290	8450	300304	XL	DEE
NA	CUX2	ENSG00000111249	23316	610648	AD	GGE, DEE
NA	CWF19L1	ENSG00000095485	55280	616120	AR	DEE, PME
NA	CYFIP2	ENSG00000055163	26999	606323	AD	DEE
NA	CYP27A1	ENSG00000135929	1593	606530	AR	DEE
NA	D2HGDH	ENSG00000180902	728294	609186	AR	DEE
NA	DAG1	ENSG00000173402	1605	128239	AR	MCD
NA	DBT	ENSG00000137992	1629	248610	AR	DEE
