Gene	Ensemble_ID	Entrez_ID	OMIM_ID	Inheritance	Phenotype(s)
GLYCTK	ENSG00000168237	132158	610516	AR	DEE
GM2A	ENSG00000196743	2760	613109	AR	DEE
GMPPA	ENSG00000144591	29926	615495	AR	DEE
GMPPB	ENSG00000173540	29925	615320	AR	DEE
GNAI1	ENSG00000127955	2770	139310	AD	DEE
GNAO1	ENSG00000087258	2775	139311	AD	DEE
GNB1	ENSG00000078369	2782	139380	AD	DEE
GNB5	ENSG00000069966	10681	604447	AR	DEE
GOSR2	ENSG00000108433	9570	604027	AR	PME
GOT2	ENSG00000125166	2806	138150	AR	DEE
GPAA1	ENSG00000197858	8733	603048	AR	DEE
GPHN	ENSG00000171723	10243	603930	AR	DEE
GPSM2	ENSG00000121957	29899	609245	AR	MCD
GPT2	ENSG00000166123	84706	138210	AR	DEE
GRIA1	ENSG00000155511	2890	138248	AD/AR	DEE
GRIA2	ENSG00000120251	2891	138247	AD	DEE
GRIA3	ENSG00000125675	2892	305915	XL	DEE
GRIA4	ENSG00000152578	2893	138246	AD	DEE
GRIK2	ENSG00000164418	2898	138244	AD/AR	DEE
GRIN1	ENSG00000176884	2902	138249	AD	DEE, MCD
GRIN2A	ENSG00000183454	2903	138253	AD/AR	Focal, DEE, MCD
GRIN2B	ENSG00000273079	2904	138252	AD	DEE, MCD
GRIN2D	ENSG00000105464	2906	602717	AD	DEE
GRM7	ENSG00000196277	2917	604101	AR	DEE
GRN	ENSG00000030582	2896	138945	AR	PME
GSS	ENSG00000100983	2937	601002	AR	DEE
GTPBP2	ENSG00000172432	54676	607434	AR	DEE
GTPBP3	ENSG00000130299	84705	608536	AR	DEE
H3-3A	ENSG00000163041	3020	601128	AD	DEE
HAX1	ENSG00000143575	10456	605998	AR	DEE, MCD
HCCS	ENSG00000004961	3052	300056	XL	DEE
HCFC1	ENSG00000172534	3054	300019	XL	DEE
HCN1	ENSG00000164588	348980	602780	AD	GGE, DEE
HCN2	ENSG00000099822	610	602781	AD	GGE
HDAC8	ENSG00000147099	55869	300269	XL	DEE
HECW2	ENSG00000138411	57520	617245	AD	DEE
HEPACAM	ENSG00000165478	220296	611642	AR	DEE
HERC2	ENSG00000128731	8924	605837	AR	DEE
HEXA	ENSG00000213614	3073	606869	AR	DEE
HEXB	ENSG00000049860	3074	606873	AR	DEE
HID1	ENSG00000167861	283987	605752	AR	DEE
HIVEP2	ENSG00000010818	3097	143054	AD	DEE
HLCS	ENSG00000159267	3141	609018	AR	DEE
HMGCL	ENSG00000117305	3155	613898	AR	DEE
HNRNPH2	ENSG00000126945	3188	300610	XL	DEE
HNRNPK	ENSG00000165119	3190	600712	AD	DEE, MCD
HNRNPR	ENSG00000125944	10236	607201	AD	DEE
HNRNPU	ENSG00000153187	3192	602869	AD	DEE
HOXA1	ENSG00000105991	3198	142955	AR	DEE
HPDL	ENSG00000186603	84842	618994	AR	DEE
HPRT1	ENSG00000165704	3251	308000	XL	DEE
HRAS	ENSG00000174775	3265	190020	AD	DEE
HSD17B4	ENSG00000133835	3295	601860	AR	DEE, MCD
HSPD1	ENSG00000144381	3329	118190	AD/AR	DEE, MCD
HTRA2	ENSG00000115317	27429	606441	AR	DEE
HTT	ENSG00000197386	3064	613004	AD	PME
IARS2	ENSG00000067704	55699	612801	AR	DEE
IBA57	ENSG00000181873	200205	615316	AR	DEE
IDH2	ENSG00000182054	3418	147650	AR	DEE
IER3IP1	ENSG00000134049	51124	609382	AR	DEE
IFIH1	ENSG00000115267	64135	606951	AD	DEE, MCD
IKBKG	ENSG00000269335	8517	300248	XL	DEE
INTS8	ENSG00000164941	55656	611351	AR	DEE, MCD
IQSEC2	ENSG00000124313	23096	300522	XL	DEE
IRF2BPL	ENSG00000119669	64207	611720	AD	DEE, PME
ISCA1	ENSG00000135070	81689	611006	AR	DEE
ITGB4	ENSG00000132470	3691	147557	AD	DEE
ITPA	ENSG00000125877	3704	147520	AR	DEE
JARID2	ENSG00000008083	3720	601594	AD	DEE
JMJD1C	ENSG00000171988	221037	604503	AD	DEE
KANSL1	ENSG00000120071	284058	612452	AD	DEE
KARS1	ENSG00000065427	3735	601421	AR	DEE
KAT5	ENSG00000172977	10524	601409	AD	DEE
KAT6A	ENSG00000083168	7994	601408	AD	DEE
KAT8	ENSG00000103510	84148	609912	AD	DEE
KATNB1	ENSG00000140854	10300	602703	AR	MCD
KCNA1	ENSG00000111262	3736	176260	AD	DEE
KCNA2	ENSG00000177301	3737	176262	AD	GGE, Focal, DEE, PME
KCNA6	ENSG00000151079	3742	176257	AD	Focal, DEE
KCNB1	ENSG00000158445	3745	600397	AD	DEE, MCD
KCNC1	ENSG00000129159	3746	176258	AD	DEE, PME
KCNC2	ENSG00000166006	3747	176256	AD	GGE, DEE
KCND2	ENSG00000184408	3751	605410	AD	DEE
KCND3	ENSG00000171385	3752	605411	AD	DEE
KCNH1	ENSG00000143473	3756	603305	AD	DEE
KCNH5	ENSG00000140015	27133	605716	AD	GGE, Focal, DEE
KCNJ10	ENSG00000177807	3766	602208	AR	DEE
KCNJ11	ENSG00000187486	3767	600937	AD	DEE
KCNK4	ENSG00000182450	50801	605720	AD	DEE
KCNMA1	ENSG00000156113	3778	600150	AR	DEE
KCNN2	ENSG00000080709	3781	605879	AD	DEE
KCNQ2	ENSG00000075043	3785	602235	AD	Focal, DEE
KCNQ3	ENSG00000184156	3786	602232	AD	Focal, DEE
KCNQ5	ENSG00000185760	56479	607357	AD	DEE
KCNT1	ENSG00000107147	57582	608167	AD	Focal, DEE
KCNT2	ENSG00000162687	343450	610044	AD	DEE
KCTD3	ENSG00000136636	51133	613272	AR	DEE
KCTD7	ENSG00000243335	154881	611725	AR	PME
KDM2B	ENSG00000089094	84678	609078	AD	DEE, MCD
KDM4B	ENSG00000127663	23030	609765	AD	DEE, MCD
KDM5A	ENSG00000073614	5927	180202	AD	DEE
KDM5C	ENSG00000126012	8242	314690	XL	DEE
KDM6A	ENSG00000147050	7403	300128	XL	DEE
